address,createdAt,createdBy,description,googlePlaceId,isActive,latitude,longitude,name,updatedAt,dish_createdAt,dish_description,glutenFree,vegan,vegetarian,dish_isActive,isHero,dish_name,placeId,dish_updatedAt
"9823 15th Ave SW, Seattle, WA 98106",2025-12-28T17:00:00Z,ADMIN,"Humble spot for excellent beef dip tacos.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Birrieria Tijuana,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Slow cooked beef taco with consomme dip.",true,false,false,true,true,Birria Tacos,PLACE_047,2025-12-28T17:00:00Z
"6314 1st Ave S, Seattle, WA 98108",2025-12-28T17:00:00Z,ADMIN,"French bakery with Danish influence.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Byen Bakeri,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Sponge cake layered with cream and marzipan.",false,false,true,true,true,Princess Cake,PLACE_048,2025-12-28T17:00:00Z
"8300 24th Ave NW, Seattle, WA 98117",2025-12-28T17:00:00Z,ADMIN,"Danish bakery famous for Kringle.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Larsen's Bakery,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Pretzel shaped flaky pastry with almond filling.",false,false,true,true,true,Danish Kringle,PLACE_049,2025-12-28T17:00:00Z
"615 19th Ave E, Seattle, WA 98112",2025-12-28T17:00:00Z,ADMIN,"Seattle's home for ginger beer.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Rachel's Ginger Beer,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Ginger beer with soft serve ice cream.",true,false,true,true,true,Float,PLACE_050,2025-12-28T17:00:00Z
"722 12th Ave S, Seattle, WA 98144",2025-12-28T17:00:00Z,ADMIN,"Famous for its Ube Malasada.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Fuji Bakery,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Hawaiian style doughnut filled with purple yam.",false,false,true,true,true,Ube Malasada,PLACE_051,2025-12-28T17:00:00Z
"1206 S Weiler Way, Seattle, WA 98144",2025-12-28T17:00:00Z,ADMIN,"Japanese bakery on the waterfront.",ChIJN1Xm6uVrkFQR-vBf_mRzV0k,true,0.0,0.0,Saint Bread,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Creamy egg salad on shokupan.",false,false,true,true,true,Egg Salad Sandwich,PLACE_052,2025-12-28T17:00:00Z
"2325 NW Market St, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"Japanese burger joint.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Katsu Burger,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Deep fried beef patty with tonkatsu sauce.",false,false,false,true,true,Tokyo Burger,PLACE_053,2025-12-28T17:00:00Z
"1130 13th Ave, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"Korean fried chicken with amazing crunch.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Bok a Bok,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Double fried chicken thighs.",false,false,false,true,true,Fried Chicken,PLACE_054,2025-12-28T17:00:00Z
"1128 12th Ave, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"Nashville hot chicken.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Sisters and Brothers,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Spicy fried chicken sandwich.",false,false,false,true,true,Nashville Hot Chicken Sandwich,PLACE_055,2025-12-28T17:00:00Z
"2060 NW Market St, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"Ice cream shop with unique flavors.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Salt & Straw,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Honey and lavender ice cream.",true,false,true,true,true,Honey Lavender Ice Cream,PLACE_056,2025-12-28T17:00:00Z
"434 Yale Ave N, Seattle, WA 98109",2025-12-28T17:00:00Z,ADMIN,"Soft pretzels and German treats.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Kaffeeklatsch,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Authentic German pretzel.",false,true,true,true,true,Pretzel,PLACE_057,2025-12-28T17:00:00Z
"401 1st Ave S, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Deli specializing in cured meats.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Salumi,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Slow roasted pork seasoned with fennel.",false,false,false,true,true,Porchetta Sandwich,PLACE_058,2025-12-28T17:00:00Z
"217 James St, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Pasta lunch spot with daily specials.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Il Corvo,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Fresh made pasta of the day.",false,false,true,true,true,Daily Pasta,PLACE_059,2025-12-28T17:00:00Z
"5339 Ballard Ave NW, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"Matcha cafe with parfaits.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,TeaRepublik,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Matcha ice cream parfait.",false,false,true,true,true,Matcha Parfait,PLACE_060,2025-12-28T17:00:00Z
"600 5th Ave S, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Japanese market with ready-to-eat sushi.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Uwajimaya,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Spam musubi from the grab-and-go section.",false,false,false,true,true,Spam Musubi,PLACE_061,2025-12-28T17:00:00Z
"8319 Greenwood Ave N, Seattle, WA 98103",2025-12-28T17:00:00Z,ADMIN,"Bakery famous for the 'Cretzel'.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Coyle's Bakeshop,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Croissant dough in a pretzel shape.",false,false,true,true,true,Cretzel,PLACE_062,2025-12-28T17:00:00Z
"632 NW 85th St, Seattle, WA 98117",2025-12-28T17:00:00Z,ADMIN,"French bakery with amazing pastries.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Rosellini's,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Caramelized croissant pastry.",false,false,true,true,true,Kouign Amann,PLACE_063,2025-12-28T17:00:00Z
"117 Pine St, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Old school soda fountain.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Shug's Soda Fountain,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Ice cream sundae with toasted marshmallow.",false,false,true,true,true,S'more Sundae,PLACE_064,2025-12-28T17:00:00Z
"431 15th Ave E, Seattle, WA 98112",2025-12-28T17:00:00Z,ADMIN,"Vegan donut shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Mighty-O Donuts,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Cake donut with chocolate glaze.",false,true,true,true,true,Chocolate Donut,PLACE_065,2025-12-28T17:00:00Z
"1411 34th Ave, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"High end donut shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Rodeo Donut,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Brioche donut with unique glazes.",false,false,true,true,true,Brioche Donut,PLACE_066,2025-12-28T17:00:00Z
"2560 152nd Ave NE, Redmond, WA 98052",2025-12-28T17:00:00Z,ADMIN,"Hidden snack bar inside Indian grocery.",ChIJ_Uf-305tkFQRR6Yn6I6_t1c,true,0.0,0.0,Mayuri Foods,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Paneer cheese wrapped in paratha.",false,false,true,true,true,Paneer Kathi Roll,PLACE_067,2025-12-28T17:00:00Z
"4214 University Way NE, Seattle, WA 98105",2025-12-28T17:00:00Z,ADMIN,"Popular boba tea shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Mee Sum Pastry (U-District),2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Green onion pancake with beef.",false,false,false,true,true,Beef Pancake,PLACE_068,2025-12-28T17:00:00Z
"701 5th Ave, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Highest Starbucks in the city.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Starbucks Columbia Center,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Coffee with a view.",true,true,true,true,true,Coffee,PLACE_069,2025-12-28T17:00:00Z
"1316 E Pike St, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"All vegan donut truck/shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Dough Joy,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Yeast raised vegan donuts.",false,true,true,true,true,Vegan Donut,PLACE_070,2025-12-28T17:00:00Z
"601 Queen Anne Ave N, Seattle, WA 98109",2025-12-28T17:00:00Z,ADMIN,"Famous fried chicken chain's original spot.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Ezell's Famous Chicken,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Crispy fried chicken.",false,false,false,true,true,Fried Chicken,PLACE_071,2025-12-28T17:00:00Z
"14330 Lake City Way NE, Seattle, WA 98125",2025-12-28T17:00:00Z,ADMIN,"Ezell's co-founder's new venture.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Heaven Sent Fried Chicken,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Fried chicken thigh.",false,false,false,true,true,Fried Chicken,PLACE_072,2025-12-28T17:00:00Z
"2000 2nd Ave, Seattle, WA 98121",2025-12-28T17:00:00Z,ADMIN,"Bakery famous for potato bread.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Macrina Bakery,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Rustic potato loaf.",false,false,true,true,true,Potato Bread,PLACE_073,2025-12-28T17:00:00Z
"1501 1st Ave, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"German sausage stall.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Bavarian Meats,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Landjaeger meat stick.",true,false,false,true,true,Landjaeger,PLACE_074,2025-12-28T17:00:00Z
"1911 1st Ave, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Curated snacks and deli items.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,DeLaurenti Food & Wine,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Fresh baked cookies.",false,false,true,true,true,Chocolate Chip Cookie,PLACE_075,2025-12-28T17:00:00Z
"4310 SW Oregon St, Seattle, WA 98116",2025-12-28T17:00:00Z,ADMIN,"West Seattle bakery powerhouse.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Bakery Nouveau (West Seattle),2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Classic butter croissant.",false,false,true,true,true,Croissant,PLACE_076,2025-12-28T17:00:00Z
"5320 Ballard Ave NW, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"Upscale chocolate shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Theo Chocolate,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Salted almond dark chocolate bar.",true,true,true,true,true,Dark Chocolate Bar,PLACE_077,2025-12-28T17:00:00Z
"2322 1st Ave, Seattle, WA 98121",2025-12-28T17:00:00Z,ADMIN,"French pastry shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,La Parisienne,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Eclair with chocolate filling.",false,false,true,true,true,Eclair,PLACE_078,2025-12-28T17:00:00Z
"4130 1st Ave S, Seattle, WA 98134",2025-12-28T17:00:00Z,ADMIN,"Bakery famous for huge cookies.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Lowrider Cookie Company,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Brown butter triple chocolate chunk.",false,false,true,true,true,Cookie,PLACE_079,2025-12-28T17:00:00Z
"1114 Post Ave, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Pizza by the slice.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Post Alley Pizza,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Slice of pepperoni pizza.",false,false,false,true,true,Pizza Slice,PLACE_080,2025-12-28T17:00:00Z
"5339 Ballard Ave NW, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"Ice cream shop with waffle cones.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Sweetbird,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Vanilla ice cream.",false,false,true,true,true,Ice Cream,PLACE_081,2025-12-28T17:00:00Z
"1415 10th Ave, Seattle, WA 98122",2025-12-28T17:00:00Z,ADMIN,"Bubble tea shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Drip Tea,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Bear shaped bubble tea bottle.",true,false,true,true,true,Bubble Tea,PLACE_082,2025-12-28T17:00:00Z
"5424 Ballad Ave NW, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"Sandwich shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Mean Sandwich,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Corned beef sandwich with mustard.",false,false,false,true,true,Mean Sandwich,PLACE_083,2025-12-28T17:00:00Z
"136 Main St, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Sandwich shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Tats Delicatessen,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Pastrami and coleslaw sandwich.",false,false,false,true,true,Tat'strami,PLACE_084,2025-12-28T17:00:00Z
"1112 4th Ave, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Deli.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Potbelly Sandwich Shop,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Toasted sandwich.",false,false,false,true,true,Sandwich,PLACE_085,2025-12-28T17:00:00Z
"6400 Roosevelt Way NE, Seattle, WA 98115",2025-12-28T17:00:00Z,ADMIN,"Sri Lankan food.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Rupee Bar,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Mutton roll.",false,false,false,true,true,Mutton Roll,PLACE_086,2025-12-28T17:00:00Z
"1001 Yesler Way, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Vietnamese deli.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Saigon Deli,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Banh mi sandwich.",false,false,false,true,true,Banh Mi,PLACE_087,2025-12-28T17:00:00Z
"209 Broadway E, Seattle, WA 98102",2025-12-28T17:00:00Z,ADMIN,"Boba shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Atulea,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Cheese foam tea.",true,false,true,true,true,Cheese Tea,PLACE_088,2025-12-28T17:00:00Z
"418 Public Market Park, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Mexican street corn.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Maiz,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Corn in a cup with mayo and chili.",true,false,true,true,true,Esquites,PLACE_089,2025-12-28T17:00:00Z
"1512 1/2 Pike Pl, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Fish throwers.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Pike Place Fish Market,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Smoked salmon.",true,false,false,true,true,Smoked Salmon,PLACE_090,2025-12-28T17:00:00Z
"1624 4th Ave, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Chocolatier.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Fran's Chocolates,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Sea salt caramel.",true,false,true,true,true,Salted Caramel,PLACE_091,2025-12-28T17:00:00Z
"1916 Pike Pl, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Greek yogurt shop.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Ellenos Real Greek Yogurt,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Marionberry yogurt.",true,false,true,true,true,Marionberry Yogurt,PLACE_092,2025-12-28T17:00:00Z
"1000 2nd Ave, Seattle, WA 98104",2025-12-28T17:00:00Z,ADMIN,"Cookies.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Midnight Cookie Co.,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"S'mores cookie.",false,false,true,true,true,Cookie,PLACE_093,2025-12-28T17:00:00Z
"5305 24th Ave NW, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"French cafe.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Cafe Besalu,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Ginger biscuit.",false,false,true,true,true,Ginger Biscuit,PLACE_094,2025-12-28T17:00:00Z
"4105 42nd Ave SW, Seattle, WA 98116",2025-12-28T17:00:00Z,ADMIN,"Ice cream.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Husky Deli,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"House made ice cream.",true,false,true,true,true,Ice Cream,PLACE_095,2025-12-28T17:00:00Z
"1622 Rainier Ave S, Seattle, WA 98144",2025-12-28T17:00:00Z,ADMIN,"Sandwiches.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Tat's Truck,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Cheesesteak.",false,false,false,true,true,Cheesesteak,PLACE_096,2025-12-28T17:00:00Z
"3401 Evanston Ave N, Seattle, WA 98103",2025-12-28T17:00:00Z,ADMIN,"Pizza.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Serious Pie,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Potato pizza.",false,false,true,true,true,Pizza,PLACE_097,2025-12-28T17:00:00Z
"2359 10th Ave E, Seattle, WA 98102",2025-12-28T17:00:00Z,ADMIN,"Deli.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Montlake Cut,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Seafood.",false,false,false,true,true,Seafood,PLACE_098,2025-12-28T17:00:00Z
"5909 15th Ave NW, Seattle, WA 98107",2025-12-28T17:00:00Z,ADMIN,"Burgers.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Scooter's Burgers,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Burger.",false,false,false,true,true,Burger,PLACE_099,2025-12-28T17:00:00Z
"6001 12th Ave S, Seattle, WA 98108",2025-12-28T17:00:00Z,ADMIN,"Mexican.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,Fonda La Catrina,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Tacos.",true,false,false,true,true,Tacos,PLACE_100,2025-12-28T17:00:00Z
"1201 3rd Ave, Seattle, WA 98101",2025-12-28T17:00:00Z,ADMIN,"Poke.",ChIJ_5i1uUsVkFQRtq2v8j_5z0g,true,0.0,0.0,FOB Poke Bar,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,"Poke bowl.",true,false,false,true,true,Poke,PLACE_101,2025-12-28T17:00:00Z